ID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
P58,DWV,1.216,Amp,UNKNOWN,34.078,34.078,NA,2.099,2.099,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,30,FALSE,
P59,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P60,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P61,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P50,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P51,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P52,BQCV,1.269,Amp,UNKNOWN,29.033,28.95,0.117,47.586,50.373,3.941,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
P53,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P54,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P55,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P56,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P57,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P58,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P59,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P60,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P61,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P50,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P51,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P52,BQCV,1.277,Amp,UNKNOWN,28.868,28.95,0.117,53.16,50.373,3.941,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
P53,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P54,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P55,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P56,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P57,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P58,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P59,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P60,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P61,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P62,DWV,1.102,No Amp,UNKNOWN,36.978,36.978,NA,0.321,0.321,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,33,FALSE,
P63,DWV,1.265,Amp,UNKNOWN,30.604,30.824,0.311,19.885,17.42,3.486,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,26,FALSE,
P64,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P65,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P66,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P67,DWV,1.278,Amp,UNKNOWN,29.385,29.282,0.145,43.781,46.897,4.406,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,25,FALSE,
P68,DWV,1.264,Amp,UNKNOWN,26.39,26.385,0.007,304.375,305.338,1.361,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,22,FALSE,
P69,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P70,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P71,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P72,DWV,1.273,Amp,UNKNOWN,32.828,32.458,0.524,4.712,6.161,2.05,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,29,FALSE,
No Sample,DWV,0,No Amp,NTC,Undetermined,NA,NA,-,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P62,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P63,DWV,1.274,Amp,UNKNOWN,31.044,30.824,0.311,14.956,17.42,3.486,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,27,FALSE,
P64,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P65,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P66,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P67,DWV,1.273,Amp,UNKNOWN,29.18,29.282,0.145,50.012,46.897,4.406,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,25,FALSE,
P68,DWV,1.264,Amp,UNKNOWN,26.38,26.385,0.007,306.3,305.338,1.361,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,22,FALSE,
P69,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P70,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P71,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,39,TRUE,
P72,DWV,1.289,Amp,UNKNOWN,32.088,32.458,0.524,7.611,6.161,2.05,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,28,FALSE,
Gblock,DWV,1.344,Amp,UNKNOWN,8.547,8.547,NA,3.16E+07,3.16E+07,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.072,TRUE,3,5,FALSE,
P62,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P63,BQCV,1.269,Amp,UNKNOWN,29.369,29.487,0.167,38.017,35.239,3.928,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
P64,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P65,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P66,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P67,BQCV,1.291,Amp,UNKNOWN,30.959,31.553,0.839,13.119,6.56,9.277,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,27,FALSE,
P68,BQCV,1.267,Amp,UNKNOWN,29.974,29.766,0.294,25.362,29.427,5.749,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,26,FALSE,
P69,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P70,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P71,BQCV,1.263,Amp,UNKNOWN,33.897,33.897,NA,1.839,1.839,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,30,FALSE,
P72,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
No Sample,BQCV,0,No Amp,NTC,Undetermined,NA,NA,-,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P62,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P63,BQCV,1.271,Amp,UNKNOWN,29.605,29.487,0.167,32.462,35.239,3.928,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
